name,url,author,date
"FTC cracks down on Amazon ‘review hijacking’ with $600,000 fine",https://www.theverge.com/2023/4/11/23678538/ftc-amazon-supplement-seller-fine-online-reviews,EMMA ROTH,APR 11
Uber will fund an e-bike buy-back program to help combat battery fires,https://www.theverge.com/2023/4/11/23678679/uber-ebike-battery-fire-buy-back-nyc-delivery,ANDREW J. HAWKINS,APR 11
Substack launches its Twitter-like Notes just days after Twitter throttled Substack links,https://www.theverge.com/2023/4/11/23677946/substack-notes-twitter-throttled-blocked-links,JAY PETERS,APR 11
Support for PS4 game creation tool Dreams is ending in September,https://www.theverge.com/2023/4/11/23678609/dreams-live-support-ps4-media-molecule,ASH PARRISH,APR 11
AMD Ryzen 7 7800X3D: your next gaming CPU,https://www.theverge.com/2023/4/5/23668320/amd-ryzen-7-7800x3d-review-cpu-processor-benchmark-test,TOM WARREN,APR 11
Microsoft’s PC Game Pass launches in 40 new countries,https://www.theverge.com/2023/4/11/23678689/microsoft-pc-game-pass-40-new-countries-launch,TOM WARREN,APR 11
Talk to Me’s first trailer is a demonic dare,https://www.theverge.com/2023/4/11/23677217/talk-to-me-trailer-a24,ANDREW WEBSTER,APR 11
"After 100 games, indie collective Sokpop wants to make 100 more",https://www.theverge.com/23677044/sokpop-collective-100-indie-games-patreon,JAY CASTELLO,APR 11
Belkin’s 2-in-1 MagSafe charger has hit a new all-time low price,https://www.theverge.com/2023/4/11/23677081/belkin-boostcharge-pro-magsafe-samsung-galaxy-z-flip-4-hisense-tv-deal-sale,SHEENA VASANI,APR 11
"E3 is canceled, but Nintendo Live is coming to the US in September",https://www.theverge.com/2023/4/11/23678603/nintendo-live-2023-september-seattle,EMMA ROTH,APR 11
All the rumors about this year’s iPhone 15 lineup,https://www.theverge.com/23678497/apple-iphone-15-news-rumors-release-date-specs-features,JON PORTER,APR 11
The Marvels’ first trailer is a cosmic game of musical chairs,https://www.theverge.com/2023/4/11/23677904/the-marvels-trailer,CHARLES PULLIAM-MOORE,APR 11
The Fitbit-to-Google account migration will start this summer,https://www.theverge.com/2023/4/11/23677684/fitbit-google-account-login-migration,VICTORIA SONG,APR 11
